id,competitor,product_category,product_name,specification,price,unit_price,title,content,source,publish_time,url,dimension
promo001,盒马,egg,鲜鸡蛋,30枚,23.9,0.80元/枚,盒马鸡蛋会员日促销,盒马会员日鲜鸡蛋买一赠积分并叠加满99减15,手工公开样例,2026-07-01,https://manual.local/promo/promo001,price
promo002,叮咚买菜,dairy,酸奶,8杯,19.9,2.49元/杯,叮咚买菜酸奶第二件半价,叮咚买菜奶类专区第二件半价提升复购,手工公开样例,2026-07-01,https://manual.local/promo/promo002,price
promo003,美团买菜,meat,猪里脊,500g,27.9,55.8元/kg,美团买菜猪肉秒杀,美团买菜晚间猪肉秒杀吸引下班人群,手工公开样例,2026-07-02,https://manual.local/promo/promo003,price
promo004,京东生鲜,fruit,苹果礼盒,2kg,25.8,12.9元/kg,京东生鲜苹果礼盒预售,京东生鲜苹果礼盒进入年货预售频道,手工公开样例,2026-07-02,https://manual.local/promo/promo004,new_product
promo005,朴朴超市,vegetable,基础蔬菜组合,3kg,19.9,6.63元/kg,朴朴超市蔬菜组合满减,朴朴超市白菜土豆番茄组合满29减8,手工公开样例,2026-07-03,https://manual.local/promo/promo005,price
promo006,永辉生活,dairy,鲜牛奶,950ml,13.9,14.63元/L,永辉生活鲜牛奶早市价,永辉生活早市鲜牛奶低于多数平台,手工公开样例,2026-07-03,https://manual.local/promo/promo006,price
promo007,山姆会员店,fruit,草莓,1kg,69.9,69.9元/kg,山姆草莓大包装会员价,山姆会员店草莓大包装适合家庭囤货,手工公开样例,2026-07-04,https://manual.local/promo/promo007,price
promo008,京东七鲜,aquatic,鲜虾,500g,36.9,73.8元/kg,京东七鲜鲜虾周末促销,京东七鲜鲜虾周末促销与水产券叠加,手工公开样例,2026-07-04,https://manual.local/promo/promo008,price
promo009,盒马,prepared_food,预制菜套餐,2人份,39.9,19.95元/份,盒马预制菜新品券,盒马半成品菜新品上架叠加新人券,手工公开样例,2026-07-05,https://manual.local/promo/promo009,new_product
promo010,美团买菜,fruit,香蕉,1kg,7.9,7.9元/kg,美团买菜水果满减,美团买菜水果专区满39减6主推香蕉苹果,手工公开样例,2026-07-05,https://manual.local/promo/promo010,price
