id,competitor,product_category,product_name,specification,price,unit_price,title,content,source,publish_time,url,dimension
mt001,美团买菜,meat,猪里脊,500g,27.9,55.8元/kg,美团买菜猪里脊秒杀,猪里脊进入晚间秒杀频道较日常价低4元,手工公开样例,2026-07-01,https://manual.local/meituan/price/mt001,price
mt002,美团买菜,meat,牛肉片,300g,33.8,112.67元/kg,美团买菜牛肉片组合购,牛肉片搭配番茄土豆组合购减6元,手工公开样例,2026-07-01,https://manual.local/meituan/price/mt002,price
mt003,美团买菜,meat,鸡胸肉,500g,15.9,31.8元/kg,美团买菜鸡胸肉低价,鸡胸肉价格低于盒马同规格1元,手工公开样例,2026-07-02,https://manual.local/meituan/price/mt003,price
mt004,美团买菜,egg,鲜鸡蛋,30枚,22.8,0.76元/枚,美团买菜鲜鸡蛋补贴,鲜鸡蛋30枚装参与平台补贴价格低于盒马,手工公开样例,2026-07-02,https://manual.local/meituan/price/mt004,price
mt005,美团买菜,dairy,鲜牛奶,950ml,14.9,15.68元/L,美团买菜鲜牛奶新人价,鲜牛奶新人价14.9元适合拉新,手工公开样例,2026-07-03,https://manual.local/meituan/price/mt005,price
mt006,美团买菜,vegetable,土豆,1kg,4.9,4.9元/kg,美团买菜土豆稳定低价,土豆1kg装价格稳定适合基础菜篮子对比,手工公开样例,2026-07-03,https://manual.local/meituan/price/mt006,price
mt007,美团买菜,vegetable,胡萝卜,1kg,5.2,5.2元/kg,美团买菜胡萝卜满减,胡萝卜与洋葱组合满20减3,手工公开样例,2026-07-04,https://manual.local/meituan/price/mt007,price
mt008,美团买菜,fruit,香蕉,1kg,7.9,7.9元/kg,美团买菜香蕉价格优势,香蕉1kg装低于叮咚买菜1元,手工公开样例,2026-07-04,https://manual.local/meituan/price/mt008,price
mt009,美团买菜,fruit,草莓,300g,26.9,89.67元/kg,美团买菜草莓季预售,草莓季预售价格低于盒马但配送时效较长,手工公开样例,2026-07-05,https://manual.local/meituan/price/mt009,new_product
mt010,美团买菜,aquatic,带鱼,500g,25.8,51.6元/kg,美团买菜带鱼促销,带鱼周末促销满49减10,手工公开样例,2026-07-05,https://manual.local/meituan/price/mt010,price
